	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV
94e44251662880ffc5b82a1aca4ff1d8	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	ND	ND	ASV00011
dfe918ad7a09031b76090196903601b6	Archaea	Thermoplasmatota	Thermoplasmata	ND	ND	ND	ND	ASV00012
f0016d3150af53004fd76468f01859d5	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	uncultured_bacterium	ASV00013
e35c9e479acfcba2ff5ff7672d153d90	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	uncultured_bacterium	ASV00014
74b901d0c3bb6d83621b6824619eb3c9	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	uncultured_endolithic	ASV00015
f371716227f48f65383e0419ac59bd17	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Bryocella	uncultured_Acidobacteria	ASV00016
b381435970f063e4fad6146994b2fb00	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Bryocella	uncultured_bacterium	ASV00017
d0b8513e69b54c185428d2cbb98cb7df	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Bryocella	uncultured_bacterium	ASV00018
c08c1a5a63056d88b2be4d0c3a03663f	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Bryocella	uncultured_bacterium	ASV00019
b7f3e527cc953940aafbb25575b65aa6	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Bryocella	uncultured_bacterium	ASV00020
de62ce36cc9535898769812313168bca	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Bryocella	uncultured_bacterium	ASV00021
6502cdaec44e1c6f15099ed5aa4b7512	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Bryocella	ND	ASV00022
4eb6103fb29535c40fb3e7d5ac713d1f	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Bryocella	ND	ASV00023
faa6bcd7afefac2cf02fd0e8521f6a8e	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Bryocella	ND	ASV00024
d1e03ec4597cb546f2c734d906eac21b	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	Granulicella_paludicola	ASV00025
3c21cc244d73a1e5122b0915a4ed4a26	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	Granulicella_paludicola	ASV00026
fc1af7a34eec0ef37aff0a57a6dcc551	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	ND	ASV00027
859e4ada184b82e66f117b9677f12f92	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	ND	ASV00028
868aa4a28bdd1d828366739da7247415	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	ND	ASV00029
5b6abc69640b2f9342656d6bd94055bb	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	ND	ASV00030
01dfb6f1b33e877ab77d65e2333d8416	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	ND	ASV00031
b6bc05b404cc4947da21fa606ad81805	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella	ND	ASV00032
4f6b7984470a247b95a25adad9c9283c	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Terriglobus	Terriglobus_aquaticus	ASV00033
d193cc6097df8ae99117409f070707ad	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Terriglobus	uncultured_bacterium	ASV00034
71d45b222346642fda891a67899f747b	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Terriglobus	uncultured_bacterium	ASV00035
74c80747312f035e999fed9e4eb935a1	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Terriglobus	ND	ASV00036
afeab245f68de4fbf522c4c0b051264c	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	ND	ND	ASV00037
c4fb9f71566810248f03254a7c2b75b4	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	ND	ND	ASV00038
639bedc6d7271b801759485daf57e7a1	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured	uncultured	ND	ASV00039
ceb36da1a26eecc6429aa5cefb368a09	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured	uncultured	ND	ASV00040
09c43456e4fd052a9ba4ef63341f5a59	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	ND	ASV00041
cafe47587e795b7cc18670bc60c43600	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	ND	ASV00042
0740e6e75c444359464926ecf4812b17	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	ND	ASV00043
a5e5fea4330a5e81b7f8328b32686ab2	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter	ND	ASV00044
23b7966cf681c8685cfac5a5201a34ee	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup_2	Subgroup_2	Subgroup_2	uncultured_Acidobacteria	ASV00045
8237e9f946c1b2ad2912c0b470e24a65	Bacteria	Acidobacteriota	Blastocatellia	11-24	11-24	11-24	uncultured_bacterium	ASV00046
9b679b5c1a8bf7f84c69a0950828f4cd	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	uncultured_soil	ASV00047
b9ce5e80d8046703d204eddcf74b10eb	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	ND	ASV00048
5541f34447dea452d68191ef5945d4a5	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	ND	ASV00049
0f6a7bcb4705029ecc1dcd78a3b548d0	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	JGI_0001001-H03	uncultured_bacterium	ASV00050
7bc212404bf868242207ed5076068bd2	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Tellurimicrobium	Tellurimicrobium_multivorans	ASV00051
310a2d1747ca730bb374ca5f53b04473	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	uncultured	uncultured_Acidobacteria	ASV00052
0421de267261f765856bd7ad63a0be6a	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	uncultured	ND	ASV00053
0cd986d3fa41118a4d3ae6468ea21980	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	ND	ND	ASV00054
1547e1c203c67b773f73c1fef1072566	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	ND	ND	ASV00055
3239a0259fbda23980a0f4fa8550fbd3	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	ND	ND	ASV00056
06c643cf5249f6b753a9c94de83d0e8f	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	ND	ND	ASV00057
8d2d173519ea87b14b962a604338468c	Bacteria	Acidobacteriota	Blastocatellia	DS-100	DS-100	DS-100	uncultured_Acidobacteria	ASV00058
d3f70251eaced320c551fbef11e7ed7b	Bacteria	Acidobacteriota	Blastocatellia	Elev-16S-573	Elev-16S-573	Elev-16S-573	uncultured_bacterium	ASV00059
b4dfd3978f915dfcc4fb8c1484ccd2e4	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured_bacterium	ASV00060
de4d7cb90a6900cca0419e0989b18afc	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	ND	ASV00061
4ee2c966e4f6e7c7d7092b7a9da00028	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	ND	ASV00062
8562afaf3955423d4eda6d71b8b277d8	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	ND	ASV00063
22f3dc3ba00c705384f533e6d5a3a96c	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	ND	ASV00064
8435d48d10463061a6b34e30b82290e3	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7	uncultured_bacterium	ASV00065
db4c848c6ee30a7493b4d515bb702493	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7	ND	ASV00066
33b59ac7bf646a8a5b1129313c3cd6bc	Bacteria	Acidobacteriota	Subgroup_11	Subgroup_11	Subgroup_11	Subgroup_11	uncultured_bacterium	ASV00067
749390571c7c1db9eac0f60644b8afd1	Bacteria	Acidobacteriota	Subgroup_22	Subgroup_22	Subgroup_22	Subgroup_22	uncultured_bacterium	ASV00068
369a6c8c6f130093720885223db46686	Bacteria	Acidobacteriota	Subgroup_25	Subgroup_25	Subgroup_25	Subgroup_25	uncultured_soil	ASV00069
ce33cded3af045f70b15c06ee321c286	Bacteria	Acidobacteriota	Subgroup_5	Subgroup_5	Subgroup_5	Subgroup_5	uncultured_bacterium	ASV00070
5acf4435d555ca46616c2869c73a84c7	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	uncultured_Acidobacteria	ASV00071
2e6aadd7f63329de535a83539229f5ab	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	uncultured_Acidobacteria	ASV00072
bd24b7966ce594d3534ff34d53c3e8da	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	uncultured_bacterium	ASV00073
6a0cefd87da3305251d4eae8f9843d1c	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	ND	ASV00074
1099e2ca8e67158bfb8e3670df1759af	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	ND	ASV00075
dd01c5e5904aa112d95ba6b2ccf5093b	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	ND	ASV00076
f94bbd2f546025525dda9fd954159784	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacteraceae	ND	ASV00077
8599524cec26e00cc7df72e7ecc01220	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacteraceae	ND	ASV00078
f99ccaaf35afbf4166f84ccb6c357d31	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacteraceae	ND	ASV00079
c65e35b3a8b46d683894b11dd6ecb389	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacteraceae	ND	ASV00080
d8d53f4e6b46271e120f923b8e7c37ef	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	Aciditerrimonas_sp	ASV00081
45d44e4a1ababa07955f54a7dedc0d97	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	ND	ASV00082
5f5564e113fa63e2cf469cd7eb74b777	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	ND	ASV00083
9123434dd474acdf4e5c4aa2672cbdd4	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	uncultured	uncultured	metagenome	ASV00084
8cdc331150767c038d657e9e137994a8	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	ND	ND	ND	ASV00085
df8456a1abbfb4c8a2c450b44378d4cb	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Schaalia_odontolytica	ASV00086
732f61386b8757029b0891b0ddde928f	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Schaalia_odontolytica	ASV00087
224c80935b18d3ab1c5768a760a44737	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Schaalia_odontolytica	ASV00088
a814e18dc6c018749b8c0e8f314a63aa	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Winkia_neuii	ASV00089
e31678836ca29c0ebde1bd1003bcdca6	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	ND	ASV00090
2359b6a4d6a1188eac7ed4daae3e165f	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum	ND	ASV00091
d25186e09b860bd2dc081cf9c289195e	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_bifidum	ASV00092
0ab5c7b30208b5d0a9958c1c4e661fd4	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_indicum	ASV00093
713187882fd3e677a9ba696ac988d57f	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	ND	ASV00094
a8e53bd66879cd51ecb4e7daf552accb	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	ND	ASV00095
8b604f97dd2f6b1da053740faed29de5	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacteriaceae	uncultured_Corynebacterium	ASV00096
0e2d370f860f8262fe2d1fd778dd030f	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_amycolatum	ASV00097
6a4c0e5943a7eb8c9f0b5b5e69171828	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_aurimucosum	ASV00098
f8c60a01ba1d73d95ecde08dff6c9f74	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_massiliense	ASV00099
377f91ea9c9a0f1f8129c227245784ba	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_mycetoides	ASV00100
5db23e08e71daefff463374ec4c9404d	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	unidentified	ASV00101
aa9b3a1418d146c262ec63305292065a	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00102
7d78ed99b08bd1723065fdd795d17e9c	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00103
886813d6c66ef41ef648c9b92ffde619	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00104
cc02d8e02665dcb672be926e61f5d0ec	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00105
195a54476a1802d75e0e773601fe964b	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00106
93f27b1fa3196206397f5452709646a1	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00107
b6f1a88d00087bd484040234bc0ae55a	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00108
e2bd3a9338e344ff658675239fdea3ff	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00109
685a1812a6e46f72d7cf1f4a060b8e96	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00110
964c2e20dd3ddab151682958d4a3176e	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00111
3bbbe1fff601409ff84297fe005e74d1	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00112
b2742ee2db67eb2b73c7631563f39ebf	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00113
8419fdeda9aeba8d0e9e58d6819234c3	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00114
e3ef1130740c023c6e7c7626211e3a7b	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00115
b4c022b165f08698a92b2189bd57197f	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00116
69fc8436786b625796174cc7a17c9372	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00117
4d4194919813070d75b1fd440dd0ecec	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00118
efc9aa504c97e4fd66b8c26606760c10	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	ND	ASV00119
820f6693f569e339f183638cd73a7fe6	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Lawsonella	uncultured_bacterium	ASV00120
1b244f1cab3e3e578fa8cbde2bd5fce6	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Lawsonella	ND	ASV00121
8495ba6ecec8d12dae432a82cc654769	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	ND	ASV00122
31f71ce5b3e181687916a3ce57c0e880	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia	ND	ASV00123
ca849ac2637c7d0c060dc691b0ac4c97	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	ND	ASV00124
df69480b570421674819d9bf0acd2634	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	ND	ASV00125
435fd033e4772ad97cecd035c9aceba5	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	ND	ASV00126
1fac7db9ef21a1e305bcccc863a8bd96	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	ND	ASV00127
aca28e4f440b01d56bc951ba98270a87	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	ND	ASV00128
c8e98e2c223d3900eefaf1f51b5cd5f9	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	ND	ASV00129
8c241ea58d33f593dd8dfd8600a4ac64	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	ND	ASV00130
39334f7b17d69ab96b3ac5b0897536a8	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	ND	ASV00131
29115e7bd8ef43044853d0193cf6f622	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	ND	ASV00132
ea2a649bd1371cc0f5e34ef4f1be7ecb	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	ND	ASV00133
0bc26185e2d2d10abb90db74c0eb427b	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	ND	ASV00134
ecf7c67431784be98880cee148719ef0	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	ND	ASV00135
08bdc6c81f6b9daab3d132b54e1d45bc	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	ND	ASV00136
09de3dde6c465b74bcb8e6f8a478e4e0	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	ND	ASV00137
29c0a2651d2d9bbc5554c6944b6818b4	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	ND	ASV00138
cadba503fbeb41b78bbcafd3a5ec0dd7	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	ND	ASV00139
5975dc6cc37b25bf4cb7f8bc76fe4ffd	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	ND	ASV00140
341effe0c1cd723cfe7b00432b2cd639	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Smaragdicoccus	ND	ASV00141
7e618546d185fe4c66131747480666a8	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	ND	ND	ASV00142
bcfe80d933dfb54a20259ed252d2336f	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	uncultured_bacterium	ASV00143
430eec72df8e319e1d5a1c7a14a8ca35	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Frankia	ND	ASV00144
40d5b3327ba874c6785c575ec188d54f	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	Jatrophihabitans_sp	ASV00145
1e4f9ecd747a41f8d214fef1bbf4135d	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	ND	ASV00146
6c2b1cf663513c1df67144351ebe62ad	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	ND	ASV00147
52cc7bbe91a143f944f9cd15f86b6e69	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	ND	ASV00148
f6edbcb91f18c1dcc550ce2c68333165	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	ND	ASV00149
fba11e8d7823756872b38d16287f63a7	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	ND	ASV00150
146195f72933e590d98b89c38d6eda33	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Klenkia	ND	ASV00151
1577de436520796fe7d00f7027f2ccdd	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Modestobacter	ND	ASV00152
388e5f3975e33460dc42b1b1bf4fcb53	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Modestobacter	ND	ASV00153
419fc2330493fd6c2817f2b4f8bf340e	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Modestobacter	ND	ASV00154
e5f5b3411cbad7b56e24e765ca08917a	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Modestobacter	ND	ASV00155
a1e8fa809b56df27637499c27b93fc46	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Modestobacter	ND	ASV00156
e1b46f503191d1fae692e53ad3e55e83	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	ND	ND	ASV00157
dcece32e6721f47a5d0849ec92f722a4	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	uncultured	uncultured	ND	ASV00158
595d49421ec4827d0ec22b1e5890c4c9	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Angustibacter	ND	ASV00159
04480db6af278b1940a2f47867850f23	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus	Kineococcus_aurantiacus	ASV00160
b1dde0ed7ab1f036845b5643cfaa699e	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus	ND	ASV00161
6112b8a69ad4ea03136dbbb73599de3d	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus	ND	ASV00162
5c0909498baf93f1f49b9d9a489ee90f	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus	ND	ASV00163
6d0daeab66637a8ca4189f66baf4e357	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus	ND	ASV00164
